id,timetaken,batch,debriefinginsertifany,time_c_wide,track_c_wide,time_c_narrow1,track_c_narrow1,time_c_narrow2,track_c_narrow2,time_a_wide,track_a_wide,time_a_narrow,track_a_narrow,time_f_wide,track_f_wide,time_f_narrow,track_f_narrow,desert_grade,desert_grade_str,just_grade,just_grade_str,good_student,goodlife,econ_nation,econ_local,econ_self,goodlife_future,econ_nation_future,econ_local_future,econ_self_future,betteroff,children_sol,agency_slider,agency,agency_str,agency_self,agency_self_str,attitude_real,wealth_real,ambition_real,parenteduc_real,race_real,stablefam_real,gender_real,health_real,hardwork_real,econstate_real,education_real,school_real,connections_real,iq_real,creativity_real,attitude_ideal,wealth_ideal,ambition_ideal,parenteduc_ideal,race_ideal,stablefam_ideal,gender_ideal,health_ideal,hardwork_ideal,econstate_ideal,education_ideal,school_ideal,connections_ideal,iq_ideal,creativity_ideal,attitude_agency,wealth_agency,ambition_agency,parenteduc_agency,race_agency,stablefam_agency,gender_agency,health_agency,hardwork_agency,econstate_agency,education_agency,school_agency,connections_agency,iq_agency,creativity_agency,stability,stability_str,rich_income,rich_savings,poor_income,diff_incentives,gov_stayout,help_self,profits_benefit,society_real,society_ideal,society_achieve_10,society_achieve_50,society_achieve_ever,diff_large,gap_fix,diff_acceptable,accumulate_wealth,profits_fair,justice,justice_str,desert_salary,desert_rich,desert_rich_con,desert_rich_howmuch,desert_rich_howlittle,desert_poor,desert_poor_con,desert_poor_howmuch,desert_poor_howlittle,desert_americans,desert_americans_con,desert_americans_howmuch,desert_americans_howlittle,desert_realistic,progtaxes,gov_reducegap,gov_reducegap_str,gov_help,gov_help_str,gov_efficient,charity,time_1_0,track_1_0,time_1_1,track_1_1,time_1_2,track_1_2,time_2_0,track_2_0,time_2_1,track_2_1,time_2_2,track_2_2,exp_success,exp_desert,exp_desert_con,exp_desert_howmuch,exp_desert_howlittle,exp_progtaxes,exp_agency,exp_agency_str,exp_race,age,birth,urban,state,employment,unemployed,education,education_parents,school_hs,school_undergrad,school_grad,income,income_parents,class_now,class_childhood,race,gender,orientation,married,divorce,children,single_parent,religion,religiosity,theology,party,ideo,ideo_soc,ideo_econ,corr_ideal_real,corr_ideal_agency,time_check,race_other,religion_other,orientation_other,grade_exp_time,grade_exp_treat,exp_time,exp_treat,econ_current,econ_future,agency_within,agency_beyond,neoliberal,society_gap,egalitarian,society_achieve_10_str,society_achieve_50_str,society_achieve_ever_str,desert_salary_str,desert_rich_tot,desert_rich_mag,desert_poor_tot,desert_poor_mag,desert_americans_tot,desert_americans_mag,desert_realistic_str,progtaxes_str,gov_efficient_str,charity_str,exp_success_str,exp_desert_tot,exp_desert_mag,exp_progtaxes_str,exp_race_correct,exp_race_nonwhite,fulltime,school_private,school_ivy,income_household,class_change,nonwhite,female,gay,gay_strict,dem,party_str,liberal,ideo_str,liberal_soc,ideo_soc_str,liberal_econ,ideo_econ_str
2,13 minutes,7th batch,,,.,,.,,.,,.,25.0,A_narrow,,.,,.,1,2,1,2,-1,0,-2,0,-3,0,-2,-1,0,-3,2,"80, 20",1,3,1,2,2,3,2,2,1,2,1,3,-2,1,0,2,3,-1,-3,0,-2,2,1,-3,1,-3,-1,3,2,1,-2,-2,2,1,3,0,1,0,0,0,0,0,2,0,3,1,2,3,1,-1,-3,200000,200000,50000,1,3,-1,3,0,3,-1,-1,-1,3,3,-3,-3,3,-1,-3,0,1,1,1.0,,-1,-3,,2.0,-1,-2,,3.0,-1,1,1,3,-1,-2,-1,-1,,.,25.0,1_1,,.,,.,,.,,.,1.0,1,2,3.0,,1,1,2,0,28,1984,3,10,0,1,3,1,1.0,3.0,,0,,0,0,1,1,1.0,0,0,0,0,0,0,1.0,1,2,3,-1,-0.50715256,0.35048386,13,.,.,.,25.0,A_narrow,25.0,1_1,-1.0,,80,20,1.5,3.0,-3.0,-3.0,-3.0,-3.0,0.0,2.0,1.0,-5.0,-2.0,-5.0,-3.0,-3.0,3.0,-1.0,-1.0,2.0,5.0,3.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,-1.0,-1.0
3,16 minutes,7th batch,,,.,,.,33.0,C_narrow2,,.,,.,,.,,.,-1,-2,-1,-1,1,1,2,0,3,1,3,2,3,2,3,"35, 65",-1,-2,1,3,3,3,3,0,3,1,3,3,3,2,3,0,3,3,1,3,-3,3,-3,-3,-3,-3,-3,3,-3,1,-3,-3,3,3,4,0,4,0,0,0,0,2,4,0,2,2,0,0,2,-1,-3,5000000,10000000,30000,-2,1,-3,-1,3,4,-1,1,1,3,3,3,3,3,-1,-3,-1,-1,-3,,1.0,-1,-2,,3.0,-1,-3,,3.0,1,1,1,3,-1,-3,-1,-1,,.,,.,31.0,1_2,,.,,.,,.,1.0,-1,-3,,3.0,1,1,3,0,43,1970,4,33,3,0,6,5,4.0,3.0,1.0,18,,2,2,1,0,1.0,0,0,1,1,2,1,1.0,1,2,2,0,0.27254933,0.7003362,16,.,.,.,33.0,C_narrow2,31.0,1_2,2.6666667,,35,65,-1.25,1.0,3.0,-3.0,1.0,2.0,-3.0,-4.0,-1.0,-5.0,-3.0,-6.0,-3.0,1.0,3.0,-3.0,-3.0,3.0,-6.0,-3.0,3.0,1.0,,2.0,1.0,0.0,18.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
4,33 minutes,7th batch,,716.0,C_wide,,.,,.,,.,,.,,.,,.,1,1,1,1,0,0,0,0,0,1,1,1,2,-1,-1,"35, 65",-1,-1,-1,-1,2,2,2,1,2,1,2,2,2,3,2,1,1,2,1,2,-2,2,-2,0,-1,2,2,2,3,2,-2,-2,2,1,4,0,3,0,0,0,4,1,4,1,3,1,1,3,3,1,2,1000000,1000000,20000,2,2,-1,-1,0,4,-1,-1,-1,3,3,-2,2,2,-1,-2,-1,-1,-2,,2.0,-1,-3,,3.0,-1,-3,,3.0,-1,1,1,2,-1,-2,-1,-1,,.,,.,88.0,1_2,,.,,.,,.,1.0,-1,-2,,2.0,1,1,2,1,53,1959,3,11,-1,0,5,5,1.0,3.0,,7,,1,2,1,0,1.0,5,0,1,0,1,4,0.0,3,-1,0,0,0.7287755,0.69359386,33,.,.,.,716.0,C_wide,88.0,1_2,1.3333334,,35,65,0.5,4.0,0.0,-1.0,-1.0,-2.0,-2.0,-4.0,-2.0,-6.0,-3.0,-6.0,-3.0,-2.0,3.0,-1.0,-1.0,2.0,-4.0,-2.0,1.0,0.0,0.0,,0.0,0.0,7.0,-1.0,1.0,1.0,-1.0,0.0,1.0,3.0,-1.0,-1.0,0.0,0.0,0.0,0.0
5,14 minutes,7th batch,,16.0,C_wide,,.,,.,,.,,.,,.,,.,-1,-3,-1,-2,2,0,-2,-2,-2,1,2,2,2,2,2,"20, 80",-1,-3,-1,-2,3,1,3,-2,3,1,3,1,3,1,1,1,3,1,3,2,2,1,2,1,1,3,1,3,3,2,2,2,2,1,3,2,3,2,3,1,2,2,3,4,3,4,2,2,3,1,3,200000,700000,3000,-1,-2,-1,-2,2,1,1,1,1,3,2,-3,-2,-3,-1,-2,1,1,2,1.0,,-1,-3,,0.0,-1,-3,,3.0,0,0,1,3,-1,-3,1,0,,.,,.,,.,,.,34.0,2_1,,.,-1.0,-1,-3,,3.0,1,-1,-3,2,35,1978,4,31,3,1,5,5,1.0,3.0,,0,,1,0,1,0,1.0,0,0,0,0,7,3,0.0,2,3,3,2,-0.035654645,0.2553311,14,., christian,.,16.0,C_wide,34.0,2_1,2.0,,20,80,-1.5,-1.0,-2.5,3.0,2.0,2.0,3.0,3.0,1.0,-3.0,0.0,-6.0,-3.0,0.0,0.0,1.0,0.0,-2.0,-6.0,-3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0
7,29 minutes,7th batch,,,.,86.0,C_narrow1,,.,,.,,.,,.,,.,-1,-3,-1,-3,-1,0,0,0,-3,1,0,0,0,3,2,"20, 80",-1,-2,-1,-3,2,3,2,2,1,2,-1,2,2,2,2,1,2,1,2,1,-3,-2,-3,-3,-3,-3,-1,1,1,-1,-3,-3,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,3,250000,40000,50000,0,1,1,3,2,4,-1,-1,1,3,3,2,3,3,-1,-3,-1,-1,-3,,2.0,-1,-3,,3.0,1,1,1.0,,0,1,1,3,-1,-2,-1,-1,,.,,.,,.,,.,68.0,2_1,,.,-1.0,-1,-3,,0.0,-1,-1,-3,0,27,1986,4,33,-2,0,3,0,0.0,0.0,,6,,0,1,2,1,0.0,0,0,0,0,0,0,1.0,0,3,3,1,0.22493029,0.43102184,29,.,.,.,86.0,C_narrow1,68.0,2_1,0.0,,20,80,1.25,2.0,2.5,-3.0,-3.0,1.0,-1.0,-5.0,-2.0,-6.0,-3.0,2.0,1.0,0.0,3.0,-1.0,-2.0,-3.0,-3.0,0.0,-3.0,1.0,,,0.0,0.0,6.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0
8,13 minutes,7th batch,,,.,,.,,.,,.,19.0,A_narrow,,.,,.,1,3,1,3,2,0,-1,-1,-1,1,1,1,1,3,1,"30, 70",1,2,1,2,-1,-1,-1,1,0,3,0,1,1,0,-1,0,0,0,-1,1,1,1,0,0,1,0,2,3,0,3,1,0,0,0,2,2,4,2,2,2,3,3,2,3,2,3,2,3,3,-1,-2,100000,50000,100,-2,-2,-2,-3,1,3,1,1,1,2,2,-1,0,0,1,3,0,1,2,1.0,,1,3,2.0,,1,3,2.0,,1,1,-1,-2,-1,-2,1,1,,.,92.0,1_1,,.,,.,,.,,.,1.0,1,3,2.0,,1,1,2,0,26,1987,0,31,2,1,6,6,1.0,,0.0,5,,2,2,1,0,1.0,0,0,0,0,1,2,1.0,0,0,0,0,0.06943462,-0.20356016,13,.,.,.,19.0,A_narrow,92.0,1_1,1.0,,30,70,-2.25,2.0,-0.5,2.0,1.0,2.0,0.0,3.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,,2.0,1.0,,5.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,16 minutes,7th batch,,,.,,.,,.,,.,,.,,.,54.0,F_narrow,1,2,1,2,2,0,-1,-1,0,1,1,0,2,1,1,"70, 30",1,2,1,2,1,0,2,1,-1,0,1,2,2,2,2,0,1,2,2,2,-3,2,-2,-3,-2,-3,2,2,0,2,-1,-2,2,2,4,0,4,0,0,1,0,2,4,0,4,2,1,3,3,1,2,80000,80000,20000,2,1,2,1,0,4,-1,-1,-1,2,2,1,2,1,-1,-1,-1,1,1,1.0,,-1,-2,,2.0,-1,-1,,1.0,-1,1,1,2,-1,-1,0,-1,,.,,.,27.0,1_2,,.,,.,,.,1.0,-1,-2,,2.0,1,1,2,0,24,1989,2,5,3,0,6,5,1.0,3.0,1.0,14,,1,1,6,0,1.0,0,0,0,0,1,2,1.0,2,2,2,1,0.7956479,0.88156456,16, Mixed,.,.,54.0,F_narrow,27.0,1_2,1.0,,70,30,1.5,4.0,1.5,-2.0,-2.0,-2.0,-2.0,2.0,1.0,-4.0,-2.0,-2.0,-1.0,-1.0,2.0,0.0,-1.0,3.0,-4.0,-2.0,2.0,1.0,,2.0,0.0,0.0,14.0,0.0,1.0,1.0,-1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
11,22 minutes,7th batch,,,.,,.,,.,,.,,.,46.0,F_wide,,.,1,2,1,2,0,1,-1,0,1,1,1,1,1,-1,1,"60, 40",1,2,1,2,2,0,3,1,0,1,0,1,3,2,1,1,0,2,1,2,0,3,1,0,1,1,1,3,2,1,1,0,1,1,4,0,4,0,0,1,0,2,3,1,3,2,1,2,3,1,3,200000,100000,13920,0,2,1,0,0,4,0,1,1,2,2,3,0,0,-1,-1,-1,-1,-1,,1.0,-1,-2,,2.0,-1,-1,,2.0,-1,1,1,1,-1,-1,1,0,,.,,.,,.,,.,51.0,2_1,,.,-1.0,-1,-3,,3.0,-1,-1,-3,0,25,1988,4,43,3,0,4,5,1.0,3.0,,9,,1,2,6,0,1.0,5,0,0,0,0,0,,2,2,2,2,0.92796075,0.67577153,22, Bi-racial,.,.,46.0,F_wide,51.0,2_1,1.0,,60,40,0.75,4.0,1.5,0.0,1.0,2.0,-1.0,-2.0,-1.0,-4.0,-2.0,-3.0,-2.0,-1.0,2.0,1.0,0.0,-3.0,-6.0,-3.0,-2.0,1.0,,2.0,0.0,0.0,9.0,-1.0,1.0,1.0,-1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
13,13 minutes,7th batch,,,.,,.,40.0,C_narrow2,,.,,.,,.,,.,1,2,1,2,0,0,0,0,0,1,0,0,0,0,1,"55, 45",-1,-2,-1,-2,1,2,0,0,1,1,0,0,-1,-1,1,0,0,-1,0,0,0,2,-1,-1,0,1,-2,-1,-1,0,0,1,1,1,3,0,4,2,2,2,4,3,1,1,2,3,2,2,3,1,2,"80,000","50,000",1000,0,-1,1,0,1,3,0,1,-1,0,1,1,0,-1,-1,-2,0,-1,-2,,2.0,-1,-2,,2.0,-1,-2,,2.0,1,0,-1,-2,1,2,0,1,,.,,.,,.,,.,28.0,2_1,,.,0.0,1,2,1.0,,0,-1,-2,0,38,1975,1,10,0,0,5,5,1.0,0.0,,0,,1,2,1,1,1.0,0,0,0,0,1,0,,2,0,0,0,1.291e-17,0.42527202,13,.,.,.,40.0,C_narrow2,28.0,2_1,0.0,,55,45,0.0,2.0,0.5,0.0,1.0,-1.0,0.0,-4.0,-2.0,-4.0,-2.0,-4.0,-2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1 hour and 15 minutes,7th batch,,,.,,.,,.,530.0,A_wide,,.,,.,,.,1,2,1,2,2,0,0,0,0,1,1,1,1,1,1,"50, 50",1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1000000,500000,25000,-2,2,-2,-2,1,4,1,1,1,2,2,-2,-2,-2,-1,-1,-1,1,2,2.0,,-1,-2,,1.0,-1,-2,,1.0,1,1,1,2,1,2,1,0,,.,,.,,.,21.0,2_0,,.,,.,-1.0,-1,-2,,1.0,-1,1,2,0,44,1969,2,14,3,0,6,2,1.0,3.0,1.0,12,,2,2,1,0,1.0,0,0,1,1,2,3,0.0,3,0,0,0,,,75,.,.,.,530.0,A_wide,21.0,2_0,1.0,,50,50,-1.0,3.0,-2.0,2.0,2.0,2.0,-1.0,4.0,2.0,-3.0,-1.0,-3.0,-1.0,1.0,3.0,2.0,0.0,-3.0,-3.0,-1.0,-1.0,1.0,,2.0,0.0,0.0,12.0,0.0,1.0,1.0,-1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
